sale_price,bedrooms,bathrooms,flat_area_sqft,lot_area_sqft,floors,times_visited,overall_grade,house_area_from_basement_sqft,basement_area_sqft,house_age_years,latitude,longitude,living_area_after_renovation_sqft,lot_area_after_renovation_sqft,years_since_renovation,Condition_of_the_House_Excellent,Condition_of_the_House_Fair,Condition_of_the_House_Good,Condition_of_the_House_Okay,Ever_Renovated_Yes,Waterfront_View_Yes,Zipcode_Group_Zipcode_Group_1,Zipcode_Group_Zipcode_Group_2,Zipcode_Group_Zipcode_Group_3,Zipcode_Group_Zipcode_Group_4,Zipcode_Group_Zipcode_Group_5,Zipcode_Group_Zipcode_Group_6,Zipcode_Group_Zipcode_Group_7,Zipcode_Group_Zipcode_Group_8,Zipcode_Group_Zipcode_Group_9,price_per_sqft,house_age_group,renovation_status
538000.0,3,2.25,2570.0,7242.0,2.0,0,7,2170.0,400,67,47.721,-122.319,1690.0,7639,26,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,209.3385214007782,Very Old (60+),Renovated
604000.0,4,3.0,1960.0,5000.0,1.0,0,7,1050.0,910,53,47.5208,-122.393,1360.0,5000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,308.16326530612247,Old (30-60),Not Renovated
1129575.0,4,4.5,5420.0,101930.0,1.0,0,10,3890.0,1530,17,47.6561,-122.005,4760.0,101930,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,208.40867158671585,Moderate (10-30),Not Renovated
229500.0,3,1.0,1780.0,7470.0,1.0,0,7,1050.0,730,58,47.5123,-122.337,1780.0,8113,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,128.93258426966293,Old (30-60),Not Renovated
662500.0,3,2.5,3560.0,9796.0,1.0,0,8,1860.0,1700,53,47.6007,-122.145,2210.0,8925,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,186.09550561797752,Old (30-60),Not Renovated
468000.0,2,1.0,1160.0,6000.0,1.0,0,7,860.0,300,76,47.69,-122.292,1330.0,6000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,403.44827586206895,Very Old (60+),Not Renovated
650000.0,4,3.0,2950.0,5000.0,2.0,3,9,1980.0,970,39,47.5714,-122.375,2140.0,4000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,220.33898305084745,Old (30-60),Not Renovated
385000.0,4,1.75,1620.0,4980.0,1.0,0,7,860.0,760,71,47.7025,-122.341,1400.0,4980,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,237.65432098765433,Very Old (60+),Not Renovated
1129575.0,3,2.75,3050.0,44867.0,1.0,4,9,2330.0,720,50,47.5316,-122.233,4110.0,20336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,370.3524590163934,Old (30-60),Not Renovated
937000.0,3,1.75,2450.0,2691.0,2.0,0,8,1750.0,700,103,47.6386,-122.36,1760.0,3573,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,382.44897959183675,Very Old (60+),Not Renovated
